,Linear,Geometric,Tree-Based,NeuralNetwork-Based
ST46TA,0.0,0.027390358426823493,0.016174633798341123,0.09619716503723916
ST46CV,0.0,0.019036618466182792,0.015506250566133702,0.10355152383870816
ST14CV,0.0,0.028038305843971337,0.012252292489428957,0.09850429227829052
ST17SV,0.0,0.02711212403345836,0.015313579036199405,0.09627684861926493
ST15TS,0.0,0.03167791484802964,0.019305707017355157,0.08864426948541071
ST35CV,0.0,0.01613067165096814,0.030440865423086556,0.0924521280494151
ST94CV,0.0,0.01617070605552926,0.015176862845615532,0.10533412820133471
ST129TS,0.0,0.028035865238589835,0.016185195169317945,0.0942250369081592
ST66SV,0.0,0.02177460139686652,0.017367250517823344,0.09826558946694033
ST121TS,0.0,0.03575587843986159,0.01830562654172783,0.08517863046947585
ST45SA,0.0,0.01983754730053357,0.014037290315230395,0.10227273689605551
ST104TS,0.0,0.01861060644438491,0.024442279842030994,0.09447158335423729
ST52CV,0.0,0.026687142132695386,0.018125974179302305,0.09276429831303173
ST130TS,0.0,0.026435994514284102,0.021467640702168903,0.09007159655768089
ST130CV,0.0,0.013789307946733475,0.013231781497998819,0.10768897257503551
ST85SA,0.0,0.01587867093417616,0.01911787571077997,0.10079311076128408
ST93SA,0.0,0.017162488089899477,0.01515685462894386,0.10267343003193419
ST54TS,0.0,0.02595436158247067,0.018113798352525974,0.09256232003477471
BNTTOTAL,0.0,0.03211214966117704,0.012048962774597476,0.09211766532057686
ST59SA,0.0,0.020123361084330382,0.015510026493954285,0.09929202267589617
ST129TA,0.0,0.019214239990941687,0.019303008059349588,0.0967530328648252
ST103SA,0.0,0.007627133546188172,0.021022041954036386,0.10489528191106713
ST130TA,0.0,0.02471529709928209,0.017103932969025834,0.09317059839827475
ST85CV,0.0,0.022398383129310057,0.030368618841571108,0.0833429462033982
ST99TS,0.0,0.02369098115423341,0.018316200225487585,0.09264118693044726
ST23TS,0.0,0.017138212672079628,0.0117958530720436,0.10334142228836024
ST35TS,0.0,0.015193366525454393,0.01984254706042278,0.09746298801357664
ST94TS,0.0,0.015149547374508701,0.02058863246290769,0.09682429684923773
ST61SV,0.0,0.008973608765042227,0.04390219998029086,0.08126527141665157
ST54CV,0.0,0.026149447853777923,0.01207851959839486,0.09394661566561682
ST62TA,0.0,0.030414288108866074,0.011900291783123379,0.09028673472022558
ST58TA,0.0,0.028560147180713116,0.01724528633069761,0.0873332150090997
ST51TA,0.0,0.018826611482138433,0.012404736308940099,0.09913040499277727
ST40CV,0.0,0.038581087343533625,0.01932737976126949,0.0751840898170494
ST112SV,0.0,0.011820842784783353,0.014396261715015582,0.10255709559766402
ST13CV,0.0,0.021587666795084857,0.014167340149031517,0.09384383533922555
ST4SV,0.0,0.026396731124657024,0.011322864401621217,0.09206338621830981
ST36TS,0.0,0.02302835691852328,0.016598639059990632,0.09044364925644006
ST118CV,0.0,0.021774107505424002,0.011826038974354608,0.0951204226762908
ST95TA,0.0,0.019863589395826314,0.02340743307151575,0.08655983801099013
ST7SV,0.0,0.014468118290113859,0.014249271143738834,0.0989819929686563
ST84SA,0.0,0.019130591667244307,0.01177718319034406,0.09653135605551454
ST62SA,0.0,0.017453333394440565,0.0233613897255835,0.08801271301451635
ST98TA,0.0,0.021328600254091126,0.01661389151104905,0.09035288975569848
ST45TS,0.0,0.008861693624338167,0.011397281246685783,0.10516816857033201
ST59TS,0.0,0.01366730246031318,0.022100364973730743,0.0916178844876162
ST31TA,0.0,0.015264043694468049,0.02109812509781578,0.09063263977197134
ST57SA,0.0,0.022289176577001496,0.017539344972012812,0.08729359548323218
ST23SA,0.0,0.01627378501022471,0.034400730037438106,0.07715168559886619
ST59TA,0.0,0.02903422468378315,0.01651878395627949,0.08124029649493031
ST49TS,0.0,0.020004904076413435,0.012498320897837796,0.09238812838570495
CLOCKHAND,0.0,0.007929665284437401,0.009151103417992476,0.10487129423283399
ST26TA,0.0,0.023363431515364963,0.013259618283242859,0.08796900099428771
ST121CV,0.0,0.015200514156817075,0.022425515106599524,0.08702971261909612
ST40TA,0.0,0.02872880372079968,0.013467714955816662,0.0827332528533399
ST38SA,0.0,0.017730681900703073,0.013537886863340549,0.09220521820793577
ST115CV,0.0,0.02105350159857505,0.013024529572484376,0.08975700549157095
ST82TS,0.0,0.019540736708502295,0.016444024780539846,0.08729115614037299
ST111SA,0.0,0.02825057589559013,0.011837356848888078,0.08343816465284999
ST119SA,0.0,0.011448348841101998,0.01923565772014744,0.09163793491262011
ST90TS,0.0,0.01369303873994852,0.023930944433659413,0.08565156926908926
ST104TA,0.0,0.020209716049298308,0.014390423600188718,0.08792014932084921
ST119TS,0.0,0.01957469635166678,0.018180797897973982,0.08515657453820405
ST111TS,0.0,0.016457042084205835,0.01620028783484481,0.08941979224693225
ST39SA,0.0,0.01385902833014481,0.01600096223869454,0.0917257297598589
ST74TS,0.0,0.01713633407343277,0.021044376222060065,0.08441112085913278
ST68SV,0.0,0.0034722406949379936,0.011281574647011626,0.10377343232312222
ST24SA,0.0,0.017871539188382704,0.02847965319605824,0.07650945742206608
ST46TS,0.0,0.022925281207218397,0.011807489940820967,0.08657498080021594
ST82SA,0.0,0.025287247920761043,0.013266607888422368,0.0831057995245683
ST109SA,0.0,0.017925000982050018,0.011822789003161882,0.09051303911668494
ST49CV,0.0,0.016154387440435385,0.011220731551776681,0.09245936370295332
ST121TA,0.0,0.01940912621390607,0.03733001778392631,0.06634420609122259
ST99SA,0.0,0.015841400775060605,0.011834133147008223,0.09199082746233218
ST95TS,0.0,0.022082412424828397,0.012687858519512285,0.08490207055185504
ST21SV,0.0,0.017515937595564843,0.02504160325589443,0.07751652888650733
ST107TS,0.0,0.017069444433193928,0.013098026001179245,0.08825614128294651
ST48CV,0.0,0.017990635480824434,0.011887545666127373,0.08846776221552818
ST117SA,0.0,0.016660943604618093,0.012939208554161218,0.08843598577609219
ST116TA,0.0,0.01956842346595902,0.017412188823211088,0.08175240167811043
ST65SV,0.0,0.018315827803737552,0.012109476539643562,0.08673965345189438
ST38CV,0.0,0.014272405514145117,0.013042029268175513,0.08938391088267984
ST46SA,0.0,0.020448355451027335,0.015754218435268693,0.08140927279179282
ST9SV,0.0,0.012763880383394929,0.01981335057650456,0.08441074490202896
ST56TA,0.0,0.020727560406312937,0.012452448406747824,0.08382442189093596
ST59CV,0.0015046154720154557,0.01624615994523828,0.01337334013661468,0.08518678511995235
ST113CV,0.0,0.013335967162240352,0.01419911524504305,0.08810639716387199
ST124SV,0.0,0.015694298657047415,0.013035344805642132,0.08697005897689716
ST116TS,0.0,0.009050268014667566,0.0163582382291131,0.0896581417688293
ST102SA,0.0,0.02385913229372005,0.021674839094092027,0.07191620260326426
ST34SA,0.0,0.012894761015167922,0.011375651385897573,0.08927813573338182
ST32CV,0.0,0.019567259680372897,0.01253620283461888,0.08194276154359148
ST50SA,0.0,0.015680842206953538,0.01304878781947005,0.08477459916237634
ST72TA,0.0,0.019695558297727313,0.017910763865742092,0.07646275659794098
ST91TA,0.0,0.01999892603292205,0.017472750318157912,0.07599527346967154
ST15SA,0.0,0.015134786090442614,0.017682770271967338,0.07998439671068336
ST83SA,0.0,0.01827731108762279,0.014687386024584626,0.07958287492261142
ST102TA,0.0,0.017694472742150358,0.013394032452878993,0.08110771786931861
